sensor_id,timestamp,pm25,pm10,no2,o3
sensor_amsterdam_001,2024-01-01T00:00:00,32.55,51.95,26.29,40.34
sensor_amsterdam_001,2024-01-01T01:00:00,31.64,56.14,24.73,40.34
sensor_amsterdam_001,2024-01-01T02:00:00,27.58,46.23,23.92,40.34
sensor_amsterdam_001,2024-01-01T03:00:00,24.42,41.86,17.12,40.34
sensor_amsterdam_001,2024-01-01T04:00:00,30.44,48.66,21.81,40.34
sensor_amsterdam_001,2024-01-01T05:00:00,38.48,64.62,28.42,40.34
sensor_amsterdam_001,2024-01-01T06:00:00,33.2,54.86,26.02,40.34
sensor_amsterdam_001,2024-01-01T07:00:00,41.02,68.7,30.52,40.34
sensor_amsterdam_001,2024-01-01T08:00:00,34.09,56.48,37.1,40.34
sensor_amsterdam_001,2024-01-01T09:00:00,34.21,53.4,35.16,40.34
sensor_amsterdam_001,2024-01-01T10:00:00,37.52,58.71,28.75,40.34
sensor_amsterdam_001,2024-01-01T11:00:00,31.9,50.5,27.04,40.34
sensor_amsterdam_001,2024-01-01T12:00:00,18.07,28.52,10.18,40.34
sensor_amsterdam_001,2024-01-01T13:00:00,32.61,59.6,15.08,40.34
sensor_amsterdam_001,2024-01-01T14:00:00,30.51,49.59,28.84,40.34
sensor_amsterdam_001,2024-01-01T15:00:00,32.45,56.04,30.76,40.34
sensor_amsterdam_001,2024-01-01T16:00:00,27.83,48.22,26.81,40.34
sensor_amsterdam_001,2024-01-01T17:00:00,37.46,63.36,30.43,40.34
sensor_amsterdam_001,2024-01-01T18:00:00,39.83,73.95,30.15,40.34
sensor_amsterdam_001,2024-01-01T19:00:00,36.0,65.25,24.45,40.34
sensor_amsterdam_001,2024-01-01T20:00:00,40.41,58.36,34.75,40.34
sensor_amsterdam_001,2024-01-01T21:00:00,46.09,73.43,50.52,40.34
sensor_amsterdam_001,2024-01-01T22:00:00,27.37,49.37,24.31,40.34
sensor_amsterdam_001,2024-01-01T23:00:00,32.45,51.31,35.48,40.34
sensor_amsterdam_001,2024-01-02T00:00:00,29.53,55.32,10.56,40.69
sensor_amsterdam_001,2024-01-02T01:00:00,27.56,44.69,21.72,40.69
sensor_amsterdam_001,2024-01-02T02:00:00,26.39,48.44,31.67,40.69
sensor_amsterdam_001,2024-01-02T03:00:00,33.51,56.97,30.65,40.69
sensor_amsterdam_001,2024-01-02T04:00:00,35.54,58.96,33.41,40.69
sensor_amsterdam_001,2024-01-02T05:00:00,37.88,61.67,30.49,40.69
sensor_amsterdam_001,2024-01-02T06:00:00,32.88,57.1,27.85,40.69
sensor_amsterdam_001,2024-01-02T07:00:00,35.54,59.44,30.17,40.69
sensor_amsterdam_001,2024-01-02T08:00:00,40.45,76.17,30.89,40.69
sensor_amsterdam_001,2024-01-02T09:00:00,39.54,77.64,40.34,40.69
sensor_amsterdam_001,2024-01-02T10:00:00,39.3,67.02,34.25,40.69
sensor_amsterdam_001,2024-01-02T11:00:00,34.15,55.2,33.42,40.69
sensor_amsterdam_001,2024-01-02T12:00:00,26.36,50.33,15.3,40.69
sensor_amsterdam_001,2024-01-02T13:00:00,28.61,51.41,29.39,40.69
sensor_amsterdam_001,2024-01-02T14:00:00,38.39,66.05,27.09,40.69
sensor_amsterdam_001,2024-01-02T15:00:00,26.47,44.51,18.86,40.69
sensor_amsterdam_001,2024-01-02T16:00:00,37.64,62.52,19.77,40.69
sensor_amsterdam_001,2024-01-02T17:00:00,40.05,62.84,30.66,40.69
sensor_amsterdam_001,2024-01-02T18:00:00,34.44,56.99,29.03,40.69
sensor_amsterdam_001,2024-01-02T19:00:00,33.33,60.87,24.46,40.69
sensor_amsterdam_001,2024-01-02T20:00:00,41.02,75.19,24.21,40.69
sensor_amsterdam_001,2024-01-02T21:00:00,37.37,63.7,35.44,40.69
sensor_amsterdam_001,2024-01-02T22:00:00,31.41,55.86,24.36,40.69
sensor_amsterdam_001,2024-01-02T23:00:00,31.74,52.24,32.83,40.69
sensor_amsterdam_001,2024-01-03T00:00:00,23.1,38.43,17.0,41.03
sensor_amsterdam_001,2024-01-03T01:00:00,38.7,65.01,30.87,41.03
sensor_amsterdam_001,2024-01-03T02:00:00,29.59,52.26,15.16,41.03
sensor_amsterdam_001,2024-01-03T03:00:00,29.61,49.27,22.87,41.03
sensor_amsterdam_001,2024-01-03T04:00:00,42.52,66.24,41.78,41.03
sensor_amsterdam_001,2024-01-03T05:00:00,31.64,57.15,31.9,41.03
sensor_amsterdam_001,2024-01-03T06:00:00,34.67,60.59,22.85,41.03
sensor_amsterdam_001,2024-01-03T07:00:00,32.13,55.17,27.89,41.03
sensor_amsterdam_001,2024-01-03T08:00:00,37.49,60.55,34.0,41.03
sensor_amsterdam_001,2024-01-03T09:00:00,37.33,58.56,28.18,41.03
sensor_amsterdam_001,2024-01-03T10:00:00,37.43,57.76,23.7,41.03
sensor_amsterdam_001,2024-01-03T11:00:00,30.71,52.21,20.71,41.03
sensor_amsterdam_001,2024-01-03T12:00:00,35.75,67.3,27.3,41.03
sensor_amsterdam_001,2024-01-03T13:00:00,34.98,52.32,30.88,41.03
sensor_amsterdam_001,2024-01-03T14:00:00,24.41,41.93,13.33,41.03
sensor_amsterdam_001,2024-01-03T15:00:00,35.34,60.06,31.04,41.03
sensor_amsterdam_001,2024-01-03T16:00:00,35.91,64.09,33.69,41.03
sensor_amsterdam_001,2024-01-03T17:00:00,40.42,69.4,36.86,41.03
sensor_amsterdam_001,2024-01-03T18:00:00,36.89,62.57,28.13,41.03
sensor_amsterdam_001,2024-01-03T19:00:00,32.87,52.41,26.87,41.03
sensor_amsterdam_001,2024-01-03T20:00:00,38.02,70.8,31.32,41.03
sensor_amsterdam_001,2024-01-03T21:00:00,34.48,62.13,27.36,41.03
sensor_amsterdam_001,2024-01-03T22:00:00,31.43,52.68,27.06,41.03
sensor_amsterdam_001,2024-01-03T23:00:00,27.39,46.73,19.05,41.03
